Exp #,Population,Nodes,Best Length,Iteration,Gain,Elapsed Time
2,3,60,192,307,15,1.514
2,3,60,181,349,11,5.760
2,3,60,173,390,8,5.615
2,3,60,171,401,2,1.510
2,3,60,166,406,5,0.685
2,3,60,159,415,7,1.233
2,3,60,158,417,1,0.274
2,3,60,144,420,14,0.410
2,3,60,143,466,1,6.308
2,3,60,140,489,3,3.156
2,3,60,133,515,7,3.566
2,3,60,126,517,7,0.273
2,3,60,116,524,10,0.961
2,3,60,114,555,2,4.257
2,3,60,112,577,2,3.021
2,3,60,111,587,1,1.370
2,3,60,102,601,9,1.920
2,3,60,100,614,2,1.785
2,3,60,94,615,6,0.137
2,3,60,93,620,1,0.687
2,3,60,88,628,5,1.097
2,3,60,84,635,4,0.963
2,3,60,77,663,7,3.842
2,3,60,76,667,1,0.548
2,3,60,73,679,3,1.645
2,3,60,72,692,1,1.781
2,3,60,71,702,1,1.372
2,3,60,67,705,4,0.413
3,3,60,269,0,0,0.000
3,3,60,233,0,36,0.137
3,3,60,227,42,6,5.765
3,3,60,213,44,14,0.276
3,3,60,210,309,3,36.000
3,3,60,203,333,7,3.294
3,3,60,192,364,11,4.260
3,3,60,187,385,5,2.889
3,3,60,183,398,4,1.787
3,3,60,177,399,6,0.137
3,3,60,171,410,6,1.512
3,3,60,165,415,6,0.686
3,3,60,163,428,2,1.785
3,3,60,155,441,8,1.785
3,3,60,154,448,1,0.960
3,3,60,150,472,4,3.299
3,3,60,116,476,34,0.549
3,3,60,106,539,10,8.654
3,3,60,104,581,2,5.768
3,3,60,99,583,5,0.274
3,3,60,98,598,1,2.059
3,3,60,96,601,2,0.412
3,3,60,94,602,2,0.137
3,3,60,87,611,7,1.236
3,3,60,85,612,2,0.138
3,3,60,84,635,1,3.164
3,3,60,83,636,1,0.139
3,3,60,75,643,8,0.959
3,3,60,72,657,3,1.924
3,3,60,70,667,2,1.371
3,3,60,69,696,1,3.953
3,3,60,67,719,2,3.098
4,3,60,265,0,0,0.000
4,3,60,252,0,13,0.136
4,3,60,244,3,8,0.405
4,3,60,238,4,6,0.135
4,3,60,233,17,5,1.755
4,3,60,225,19,8,0.271
4,3,60,216,156,9,18.913
4,3,60,206,209,10,7.187
4,3,60,201,302,5,12.617
4,3,60,196,356,5,7.462
4,3,60,195,379,1,3.179
4,3,60,186,382,9,0.414
4,3,60,156,393,30,1.519
4,3,60,150,405,6,1.658
4,3,60,144,426,6,2.908
4,3,60,139,458,5,4.406
4,3,60,137,461,2,0.409
4,3,60,129,464,8,0.413
4,3,60,119,477,10,1.793
4,3,60,111,498,8,2.900
4,3,60,110,534,1,4.973
4,3,60,102,543,8,1.243
4,3,60,101,546,1,0.415
4,3,60,94,551,7,0.690
4,3,60,92,556,2,0.691
4,3,60,87,570,5,1.938
4,3,60,82,577,5,0.965
4,3,60,76,612,6,4.826
4,3,60,68,629,8,2.345
5,3,60,249,0,0,0.000
5,3,60,248,4,1,0.688
5,3,60,241,7,7,0.413
5,3,60,229,16,12,1.241
5,3,60,218,82,11,8.983
5,3,60,216,88,2,0.812
5,3,60,205,196,11,14.574
5,3,60,202,230,3,4.607
5,3,60,198,328,4,13.485
5,3,60,196,335,2,0.963
5,3,60,195,339,1,0.551
5,3,60,191,340,4,0.138
